row_rank,role_rank,job_role,skills,count,stackoverflow_question_count_180d
622,31,ML / AI Engineer / Data Scientist,BigQuery,10,35
623,32,ML / AI Engineer / Data Scientist,Databricks,10,24
624,33,ML / AI Engineer / Data Scientist,Rust,9,173
625,34,ML / AI Engineer / Data Scientist,Hadoop,9,3
626,35,ML / AI Engineer / Data Scientist,Node.js,8,219
627,36,ML / AI Engineer / Data Scientist,Linux,8,127
628,37,ML / AI Engineer / Data Scientist,CUDA,7,38
629,38,ML / AI Engineer / Data Scientist,JAX,7,12
630,39,ML / AI Engineer / Data Scientist,Hugging Face,7,5
631,40,ML / AI Engineer / Data Scientist,Docker,6,109
632,41,ML / AI Engineer / Data Scientist,Pandas,6,106
633,42,ML / AI Engineer / Data Scientist,Apache Kafka,6,33
634,43,ML / AI Engineer / Data Scientist,Redis,6,29
635,44,ML / AI Engineer / Data Scientist,Scala,6,22
636,45,ML / AI Engineer / Data Scientist,Apache Flink,6,7
637,46,ML / AI Engineer / Data Scientist,NumPy,5,58
638,47,ML / AI Engineer / Data Scientist,Ruby,5,23
639,48,ML / AI Engineer / Data Scientist,scikit-learn,5,21
640,49,ML / AI Engineer / Data Scientist,Figma,5,2
641,50,ML / AI Engineer / Data Scientist,Dagster,5,0
642,51,ML / AI Engineer / Data Scientist,Looker,5,0
643,52,ML / AI Engineer / Data Scientist,Terraform,4,15
644,53,ML / AI Engineer / Data Scientist,Transformers,4,12
645,54,ML / AI Engineer / Data Scientist,Grafana,4,11
646,55,ML / AI Engineer / Data Scientist,Prometheus,4,8
647,56,ML / AI Engineer / Data Scientist,Tableau,4,1
648,57,ML / AI Engineer / Data Scientist,HTML,3,399
649,58,ML / AI Engineer / Data Scientist,Next.js,3,124
650,59,ML / AI Engineer / Data Scientist,MySQL,3,70
651,60,ML / AI Engineer / Data Scientist,Amazon S3,3,33
652,61,ML / AI Engineer / Data Scientist,SAS,3,11
653,62,ML / AI Engineer / Data Scientist,ClickHouse,3,6
654,63,ML / AI Engineer / Data Scientist,Llama,3,3
655,64,ML / AI Engineer / Data Scientist,C#,2,690
656,65,ML / AI Engineer / Data Scientist,Android,2,489
657,66,ML / AI Engineer / Data Scientist,iOS,2,300
658,67,ML / AI Engineer / Data Scientist,Swift,2,217
659,68,ML / AI Engineer / Data Scientist,Kotlin,2,172
660,69,ML / AI Engineer / Data Scientist,Bash,2,76
661,70,ML / AI Engineer / Data Scientist,Express,2,46
662,71,ML / AI Engineer / Data Scientist,FastAPI,2,39
663,72,ML / AI Engineer / Data Scientist,GraphQL,2,11
664,73,ML / AI Engineer / Data Scientist,Vertex AI,2,8
665,74,ML / AI Engineer / Data Scientist,Slurm,2,7
666,75,ML / AI Engineer / Data Scientist,MongoDB Atlas,2,6
667,76,ML / AI Engineer / Data Scientist,Redshift,2,5
668,77,ML / AI Engineer / Data Scientist,Datadog,2,3
669,78,ML / AI Engineer / Data Scientist,C,1,421
670,79,ML / AI Engineer / Data Scientist,CSS,1,310
671,80,ML / AI Engineer / Data Scientist,SwiftUI,1,169
672,81,ML / AI Engineer / Data Scientist,React Native,1,122
673,82,ML / AI Engineer / Data Scientist,REST,1,72
674,83,ML / AI Engineer / Data Scientist,MongoDB,1,67
675,84,ML / AI Engineer / Data Scientist,SQLite,1,43
676,85,ML / AI Engineer / Data Scientist,Ruby on Rails,1,27
677,86,ML / AI Engineer / Data Scientist,Tailwind CSS,1,23
678,87,ML / AI Engineer / Data Scientist,UIKit,1,20
679,88,ML / AI Engineer / Data Scientist,Jupyter,1,19
680,89,ML / AI Engineer / Data Scientist,MATLAB,1,16
681,90,ML / AI Engineer / Data Scientist,Gemini,1,15
682,91,ML / AI Engineer / Data Scientist,RabbitMQ,1,14
683,92,ML / AI Engineer / Data Scientist,Elasticsearch,1,10
684,93,ML / AI Engineer / Data Scientist,Julia,1,10
685,94,ML / AI Engineer / Data Scientist,Streamlit,1,10
686,95,ML / AI Engineer / Data Scientist,Ansible,1,8
687,96,ML / AI Engineer / Data Scientist,Cloudflare Workers,1,6
688,97,ML / AI Engineer / Data Scientist,Helm,1,6
689,98,ML / AI Engineer / Data Scientist,DynamoDB,1,5
690,99,ML / AI Engineer / Data Scientist,NetSuite,1,3
691,100,ML / AI Engineer / Data Scientist,styled-components,1,3
692,101,ML / AI Engineer / Data Scientist,HubSpot,1,0
693,102,ML / AI Engineer / Data Scientist,MobX,1,0
694,103,ML / AI Engineer / Data Scientist,Triton Inference Server,1,0
695,104,ML / AI Engineer / Data Scientist,Zendesk,1,0
696,1,Mobile,Swift,12,217
697,2,Mobile,iOS,11,300
698,3,Mobile,Python,9,1630
699,4,Mobile,SwiftUI,8,169
700,5,Mobile,Java,6,751
701,6,Mobile,SQL,4,237
702,7,Mobile,Bash,4,76
703,8,Mobile,MySQL,4,70
704,9,Mobile,Go,4,44
705,10,Mobile,UIKit,4,20
706,11,Mobile,Bazel,4,7
707,12,Mobile,React,3,141
708,13,Mobile,Kubernetes,3,27
709,14,Mobile,Claude,3,25
710,15,Mobile,Terraform,3,15
711,16,Mobile,JavaScript,2,734
712,17,Mobile,TypeScript,2,223
713,18,Mobile,Linux,2,127
714,19,Mobile,Git,2,126
715,20,Mobile,Docker,2,109
716,21,Mobile,AWS,2,82
717,22,Mobile,GitHub,2,67
718,23,Mobile,Flask,2,28
719,24,Mobile,LangChain,2,24
720,25,Mobile,Objective-C,2,17
721,26,Mobile,GPT,2,16
722,27,Mobile,OpenAI Codex,2,7
723,28,Mobile,Figma,2,2
724,29,Mobile,Buildkite,2,0
725,30,Mobile,C++,1,790
726,31,Mobile,Android,1,489
727,32,Mobile,Node.js,1,219
728,33,Mobile,Kotlin,1,172
729,34,Mobile,Spring,1,138
730,35,Mobile,Apache Kafka,1,33
731,36,Mobile,Tailwind CSS,1,23
732,37,Mobile,Gemini,1,15
733,38,Mobile,Jenkins,1,15
734,39,Mobile,Elasticsearch,1,10
735,40,Mobile,Jira,1,7
736,41,Mobile,Confluence,1,0
737,1,Research Engineer / Scientist,Python,52,1630
738,2,Research Engineer / Scientist,PyTorch,30,53
739,3,Research Engineer / Scientist,Kubernetes,22,27
740,4,Research Engineer / Scientist,Claude,22,25
741,5,Research Engineer / Scientist,GPT,15,16
742,6,Research Engineer / Scientist,JAX,15,12
743,7,Research Engineer / Scientist,Docker,14,109
744,8,Research Engineer / Scientist,TensorFlow,14,32
745,9,Research Engineer / Scientist,C++,13,790
746,10,Research Engineer / Scientist,AWS,12,82
747,11,Research Engineer / Scientist,Java,9,751
748,12,Research Engineer / Scientist,Rust,8,173
749,13,Research Engineer / Scientist,GCP,8,52
750,14,Research Engineer / Scientist,CUDA,8,38
751,15,Research Engineer / Scientist,SQL,7,237
752,16,Research Engineer / Scientist,Transformers,7,12
753,17,Research Engineer / Scientist,Anthropic,6,3
754,18,Research Engineer / Scientist,Azure,4,113
755,19,Research Engineer / Scientist,Apache Spark,4,30
756,20,Research Engineer / Scientist,LangChain,4,24
757,21,Research Engineer / Scientist,JavaScript,3,734
758,22,Research Engineer / Scientist,R,3,373
759,23,Research Engineer / Scientist,Swift,3,217
760,24,Research Engineer / Scientist,Linux,3,127
761,25,Research Engineer / Scientist,Go,3,44
762,26,Research Engineer / Scientist,BigQuery,3,35
763,27,Research Engineer / Scientist,Apache Kafka,3,33
764,28,Research Engineer / Scientist,Scala,3,22
765,29,Research Engineer / Scientist,Airflow,3,18
766,30,Research Engineer / Scientist,OpenAI Codex,3,7
767,31,Research Engineer / Scientist,Triton Inference Server,3,0
768,32,Research Engineer / Scientist,C,2,421
769,33,Research Engineer / Scientist,Node.js,2,219
770,34,Research Engineer / Scientist,Pandas,2,106
771,35,Research Engineer / Scientist,GitHub,2,67
772,36,Research Engineer / Scientist,NumPy,2,58
773,37,Research Engineer / Scientist,GitHub Copilot,2,27
774,38,Research Engineer / Scientist,NCCL,2,1
775,39,Research Engineer / Scientist,Spring,1,138
776,40,Research Engineer / Scientist,MySQL,1,70
777,41,Research Engineer / Scientist,Amazon S3,1,33
778,42,Research Engineer / Scientist,Redis,1,29
779,43,Research Engineer / Scientist,GitLab,1,27
780,44,Research Engineer / Scientist,Lua,1,25
781,45,Research Engineer / Scientist,MCP,1,25
782,46,Research Engineer / Scientist,Terraform,1,15
783,47,Research Engineer / Scientist,RabbitMQ,1,14
784,48,Research Engineer / Scientist,Hugging Face,1,5
785,49,Research Engineer / Scientist,Bicep,1,3
786,50,Research Engineer / Scientist,MLflow,1,2
787,51,Research Engineer / Scientist,Zookeeper,1,0
788,1,Security Engineer,Python,55,1630
789,2,Security Engineer,AWS,47,82
790,3,Security Engineer,Kubernetes,42,27
791,4,Security Engineer,GCP,37,52
792,5,Security Engineer,Azure,36,113
793,6,Security Engineer,Go,35,44
794,7,Security Engineer,Rust,19,173
795,8,Security Engineer,Linux,19,127
796,9,Security Engineer,Terraform,19,15
797,10,Security Engineer,C++,15,790
798,11,Security Engineer,TypeScript,11,223
799,12,Security Engineer,Java,9,751
800,13,Security Engineer,JavaScript,8,734
801,14,Security Engineer,Bash,7,76
802,15,Security Engineer,Jira,7,7
803,16,Security Engineer,Node.js,6,219
804,17,Security Engineer,SQL,5,237
805,18,Security Engineer,React,5,141
806,19,Security Engineer,Git,5,126
807,20,Security Engineer,Docker,5,109
808,21,Security Engineer,GitHub,5,67
809,22,Security Engineer,Claude,5,25
810,23,Security Engineer,Confluence,5,0
811,24,Security Engineer,C#,4,690
812,25,Security Engineer,C,4,421
813,26,Security Engineer,Amazon S3,3,33
814,27,Security Engineer,Flask,3,28
815,28,Security Engineer,Ruby,3,23
816,29,Security Engineer,OpenAI Codex,3,7
817,30,Security Engineer,Vault,3,5
818,31,Security Engineer,AWS CloudFormation,3,4
819,32,Security Engineer,Datadog,3,3
820,33,Security Engineer,Okta,3,3
821,34,Security Engineer,Zendesk,3,0
822,35,Security Engineer,Swift,2,217
823,36,Security Engineer,PostgreSQL,2,185
824,37,Security Engineer,Assembly,2,77
825,38,Security Engineer,GitHub Actions,2,35
826,39,Security Engineer,Grafana,2,11
827,40,Security Engineer,Amazon EC2,2,7
828,41,Security Engineer,MongoDB Atlas,2,6
829,42,Security Engineer,Amazon EKS,2,3
830,43,Security Engineer,Google GKE,2,1
831,44,Security Engineer,Istio,2,1
832,45,Security Engineer,Splunk,2,1
833,46,Security Engineer,Envoy,2,0
834,47,Security Engineer,Android,1,489
835,48,Security Engineer,HTML,1,399
836,49,Security Engineer,iOS,1,300
837,50,Security Engineer,Pandas,1,106
838,51,Security Engineer,REST,1,72
839,52,Security Engineer,MySQL,1,70
840,53,Security Engineer,BigQuery,1,35
841,54,Security Engineer,Apache Kafka,1,33
842,55,Security Engineer,Apache Spark,1,30
843,56,Security Engineer,Nginx,1,27
844,57,Security Engineer,Ruby on Rails,1,27
845,58,Security Engineer,MCP,1,25
846,59,Security Engineer,GitLab CI,1,21
847,60,Security Engineer,Objective-C,1,17
848,61,Security Engineer,GPT,1,16
849,62,Security Engineer,Jenkins,1,15
850,63,Security Engineer,Elasticsearch,1,10
851,64,Security Engineer,IIS,1,10
852,65,Security Engineer,Apache Flink,1,7
853,66,Security Engineer,Bazel,1,7
854,67,Security Engineer,Elixir,1,4
855,68,Security Engineer,Nix,1,4
856,69,Security Engineer,Zig,1,4
857,70,Security Engineer,Anthropic,1,3
858,71,Security Engineer,Solidity,1,2
859,72,Security Engineer,Pulumi,1,0
860,73,Security Engineer,Snyk,1,0
861,74,Security Engineer,Vanta,1,0
862,1,Solutions / Forward Deployed,Python,169,1630
863,2,Solutions / Forward Deployed,JavaScript,102,734
864,3,Solutions / Forward Deployed,AWS,97,82
865,4,Solutions / Forward Deployed,Azure,93,113
866,5,Solutions / Forward Deployed,GCP,91,52
867,6,Solutions / Forward Deployed,Kubernetes,68,27
868,7,Solutions / Forward Deployed,Java,42,751
869,8,Solutions / Forward Deployed,SQL,38,237
870,9,Solutions / Forward Deployed,Go,37,44
871,10,Solutions / Forward Deployed,TypeScript,32,223
872,11,Solutions / Forward Deployed,Node.js,31,219
873,12,Solutions / Forward Deployed,Terraform,28,15
874,13,Solutions / Forward Deployed,C++,26,790
875,14,Solutions / Forward Deployed,C#,24,690
876,15,Solutions / Forward Deployed,MongoDB Atlas,23,6
877,16,Solutions / Forward Deployed,Apache Kafka,22,33
878,17,Solutions / Forward Deployed,Ruby,18,23
879,18,Solutions / Forward Deployed,Docker,17,109
880,19,Solutions / Forward Deployed,React,16,141
881,20,Solutions / Forward Deployed,Datadog,15,3
882,21,Solutions / Forward Deployed,Bash,13,76
883,22,Solutions / Forward Deployed,Helm,12,6
884,23,Solutions / Forward Deployed,PHP,9,252
885,24,Solutions / Forward Deployed,REST,9,72
886,25,Solutions / Forward Deployed,Jenkins,9,15
887,26,Solutions / Forward Deployed,Ansible,9,8
888,27,Solutions / Forward Deployed,Splunk,9,1
889,28,Solutions / Forward Deployed,Puppet,9,0
890,29,Solutions / Forward Deployed,GitLab,8,27
891,30,Solutions / Forward Deployed,OpenShift,8,3
892,31,Solutions / Forward Deployed,Git,7,126
893,32,Solutions / Forward Deployed,Perl,7,40
894,33,Solutions / Forward Deployed,Cloudflare,7,16
895,34,Solutions / Forward Deployed,GPT,7,16
896,35,Solutions / Forward Deployed,Grafana,7,11
897,36,Solutions / Forward Deployed,Prometheus,7,8
898,37,Solutions / Forward Deployed,Cloudflare Workers,7,6
899,38,Solutions / Forward Deployed,Amazon EKS,7,3
900,39,Solutions / Forward Deployed,Google GKE,7,1
901,40,Solutions / Forward Deployed,PostgreSQL,6,185
902,41,Solutions / Forward Deployed,Claude,6,25
903,42,Solutions / Forward Deployed,Salesforce,6,12
904,43,Solutions / Forward Deployed,Rust,4,173
905,44,Solutions / Forward Deployed,MongoDB,4,67
906,45,Solutions / Forward Deployed,Apache Spark,4,30
907,46,Solutions / Forward Deployed,MCP,4,25
908,47,Solutions / Forward Deployed,Jira,4,7
909,48,Solutions / Forward Deployed,Pulumi,4,0
910,49,Solutions / Forward Deployed,HTML,3,399
911,50,Solutions / Forward Deployed,Linux,3,127
912,51,Solutions / Forward Deployed,GitHub,3,67
913,52,Solutions / Forward Deployed,Lua,3,25
914,53,Solutions / Forward Deployed,Jupyter,3,19
915,54,Solutions / Forward Deployed,Gemini,3,15
916,55,Solutions / Forward Deployed,SAS,3,11
917,56,Solutions / Forward Deployed,Vertex AI,3,8
918,57,Solutions / Forward Deployed,AWS CloudFormation,3,4
919,58,Solutions / Forward Deployed,NetSuite,3,3
920,59,Solutions / Forward Deployed,Android,2,489
921,60,Solutions / Forward Deployed,R,2,373
922,61,Solutions / Forward Deployed,CSS,2,310
923,62,Solutions / Forward Deployed,Swift,2,217
924,63,Solutions / Forward Deployed,.NET,2,174
925,64,Solutions / Forward Deployed,Next.js,2,124
926,65,Solutions / Forward Deployed,GitHub Actions,2,35
927,66,Solutions / Forward Deployed,MATLAB,2,16
928,67,Solutions / Forward Deployed,GraphQL,2,11
929,68,Solutions / Forward Deployed,Zendesk,2,0
930,69,Solutions / Forward Deployed,iOS,1,300
931,70,Solutions / Forward Deployed,Kotlin,1,172
932,71,Solutions / Forward Deployed,Angular,1,156
933,72,Solutions / Forward Deployed,React Native,1,122
934,73,Solutions / Forward Deployed,SQLite,1,43
935,74,Solutions / Forward Deployed,Vue.js,1,30
936,75,Solutions / Forward Deployed,Redis,1,29
937,76,Solutions / Forward Deployed,GitHub Copilot,1,27
938,77,Solutions / Forward Deployed,Snowflake,1,26
939,78,Solutions / Forward Deployed,Databricks,1,24
940,79,Solutions / Forward Deployed,Objective-C,1,17
941,80,Solutions / Forward Deployed,OpenTelemetry,1,10
942,81,Solutions / Forward Deployed,Vercel,1,9
943,82,Solutions / Forward Deployed,Amazon EC2,1,7
944,83,Solutions / Forward Deployed,DynamoDB,1,5
945,84,Solutions / Forward Deployed,Heroku,1,4
946,85,Solutions / Forward Deployed,Anthropic,1,3
947,86,Solutions / Forward Deployed,CockroachDB,1,0
948,87,Solutions / Forward Deployed,Fly.io,1,0
949,88,Solutions / Forward Deployed,Vanta,1,0
950,1,Systems / Low-level,Python,21,1630
951,2,Systems / Low-level,SQL,21,237
952,3,Systems / Low-level,Go,18,44
953,4,Systems / Low-level,C++,14,790
954,5,Systems / Low-level,Rust,14,173
955,6,Systems / Low-level,Kubernetes,14,27
956,7,Systems / Low-level,TypeScript,11,223
957,8,Systems / Low-level,Linux,11,127
958,9,Systems / Low-level,Docker,10,109
959,10,Systems / Low-level,Terraform,10,15
960,11,Systems / Low-level,JavaScript,8,734
961,12,Systems / Low-level,PostgreSQL,8,185
962,13,Systems / Low-level,Apache Kafka,7,33
963,14,Systems / Low-level,Claude,7,25
964,15,Systems / Low-level,Salesforce,7,12
965,16,Systems / Low-level,ClickHouse,7,6
966,17,Systems / Low-level,Grafana,6,11
967,18,Systems / Low-level,dbt,6,11
968,19,Systems / Low-level,Snowflake,5,26
969,20,Systems / Low-level,Prometheus,5,8
970,21,Systems / Low-level,Java,4,751
971,22,Systems / Low-level,React,4,141
972,23,Systems / Low-level,Bash,4,76
973,24,Systems / Low-level,GCP,4,52
974,25,Systems / Low-level,Apache Flink,4,7
975,26,Systems / Low-level,Jira,4,7
976,27,Systems / Low-level,Tableau,4,1
977,28,Systems / Low-level,Android,3,489
978,29,Systems / Low-level,REST,3,72
979,30,Systems / Low-level,MySQL,3,70
980,31,Systems / Low-level,BigQuery,3,35
981,32,Systems / Low-level,GitLab CI,3,21
982,33,Systems / Low-level,GPT,3,16
983,34,Systems / Low-level,OpenAI Codex,3,7
984,35,Systems / Low-level,Okta,3,3
985,36,Systems / Low-level,Looker,3,0
986,37,Systems / Low-level,Zendesk,3,0
987,38,Systems / Low-level,Node.js,2,219
988,39,Systems / Low-level,Git,2,126
989,40,Systems / Low-level,AWS,2,82
990,41,Systems / Low-level,Apache Spark,2,30
991,42,Systems / Low-level,Redis,2,29
992,43,Systems / Low-level,Nginx,2,27
993,44,Systems / Low-level,Airflow,2,18
994,45,Systems / Low-level,Plotly,2,18
995,46,Systems / Low-level,Cloudflare,2,16
996,47,Systems / Low-level,gRPC,2,13
997,48,Systems / Low-level,GraphQL,2,11
998,49,Systems / Low-level,Streamlit,2,10
999,50,Systems / Low-level,Kibana,2,3
1000,51,Systems / Low-level,NetSuite,2,3
1001,52,Systems / Low-level,HubSpot,2,0
1002,53,Systems / Low-level,C,1,421
1003,54,Systems / Low-level,R,1,373
1004,55,Systems / Low-level,iOS,1,300
1005,56,Systems / Low-level,Swift,1,217
1006,57,Systems / Low-level,Kotlin,1,172
1007,58,Systems / Low-level,Azure,1,113
1008,59,Systems / Low-level,GitHub,1,67
1009,60,Systems / Low-level,CUDA,1,38
1010,61,Systems / Low-level,Amazon S3,1,33
1011,62,Systems / Low-level,GitHub Copilot,1,27
1012,63,Systems / Low-level,MCP,1,25
1013,64,Systems / Low-level,Databricks,1,24
1014,65,Systems / Low-level,GDB,1,12
1015,66,Systems / Low-level,Ansible,1,8
1016,67,Systems / Low-level,Cloudflare Workers,1,6
1017,68,Systems / Low-level,Redshift,1,5
1018,69,Systems / Low-level,Datadog,1,3
1019,70,Systems / Low-level,Figma,1,2
1020,71,Systems / Low-level,Splunk,1,1
1021,72,Systems / Low-level,Dagster,1,0
1022,73,Systems / Low-level,Envoy,1,0
1023,74,Systems / Low-level,Gatsby,1,0
1024,75,Systems / Low-level,Groovy,1,0
1025,76,Systems / Low-level,Puppet,1,0
